pl_name,hostname,discoverymethod,disc_year,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_met,st_rad,sy_pnum,pl_dens_calc,mass_radius_ratio,hz_flag,log_rade,log_dens,log_period,log_smax,log_eqt,cluster,umap_x,umap_y,pl_bmasse_imputed,pl_rade_imputed,pl_eqt_imputed,pl_insol_imputed,cluster_name,method_group
Kepler-306 e,Kepler-306,Transit,2014.0,2.27,5.77,44.840975,0.227,390.0,6.185,4954.0,-0.13,0.719,4,2.718002428468704,2.541850220264317,0,0.35602585719312274,0.4342498404281482,1.6516750471101862,-0.6439741428068773,2.591064607026499,3.0,0.13009605,12.929883,0,0,0,0,Mini-Neptunes,Transit
Kepler-307 b,Kepler-307,Transit,2013.0,2.43,7.44,10.4208,0.09359,797.0,59.7,5367.0,0.19,0.814,2,2.8569702207980017,3.0617283950617282,0,0.38560627359831223,0.45590571360272714,1.0179010608300072,-1.0287705527237587,2.9014583213961123,1.0,7.4789667,10.833055,0,0,0,0,Super-Earths (multi),Transit
Kepler-307 c,Kepler-307,Transit,2013.0,2.2,3.64,13.0729,0.10896,739.0,44.0,5367.0,0.19,0.814,2,1.8835837716002999,1.6545454545454545,0,0.3424226808222063,0.27498494003422214,1.1163719390949276,-0.9627329054312901,2.8686444383948255,1.0,7.585467,10.461988,0,0,0,0,Super-Earths (multi),Transit
Kepler-308 b,Kepler-308,Transit,2014.0,2.12,5.14,9.694928,0.09,833.0,108.64,5895.0,-0.04,0.941,2,2.9723991953088786,2.424528301886792,0,0.32633586092875144,0.47310713506080637,0.9865445881110824,-1.0457574905606752,2.9206450014067875,3.0,6.1006584,10.242922,0,0,0,0,Mini-Neptunes,Transit
Kepler-308 c,Kepler-308,Transit,2014.0,2.16,5.31,15.38231,0.123,714.0,58.679,5895.0,-0.04,0.941,2,2.9032528863740277,2.458333333333333,0,0.3344537511509309,0.46288486648046134,1.1870215594524978,-0.9100948885606021,2.8536982117761744,3.0,6.279412,9.898607,0,0,0,0,Mini-Neptunes,Transit
Kepler-309 b,Kepler-309,Transit,2014.0,1.56,3.05,5.923653,0.059,531.0,99.493,4713.0,0.27,0.721,2,4.426675053524165,1.9551282051282048,0,0.1931245983544616,0.646077643135186,0.7725896101801895,-1.2291479883578558,2.725094521081469,3.0,7.504126,11.1932125,0,0,0,0,Mini-Neptunes,Transit
Kepler-309 c,Kepler-309,Transit,2014.0,2.51,6.85,105.356383,0.401,204.0,2.142,4713.0,0.27,0.721,2,2.386827351314414,2.7290836653386457,0,0.3996737214810381,0.37782100590109624,2.022660852404514,-0.39685562737981767,2.3096301674258988,3.0,7.4308844,9.505736,0,0,0,0,Mini-Neptunes,Transit
Kepler-31 b,Kepler-31,Transit,2011.0,5.5,36.7418,20.8613,0.16,781.0,91.474,6340.0,-0.076,1.22,3,1.216813331329827,6.680327272727272,0,0.7403626894942439,0.08522395917385742,1.319341368579234,-0.7958800173440752,2.8926510338773004,1.0,0.86896557,15.062901,0,0,0,0,Super-Earths (multi),Transit
Kepler-31 c,Kepler-31,Transit,2011.0,5.3,1493.7,42.6318,0.26,615.0,35.254,6340.0,-0.076,1.22,3,55.2824613607206,281.8301886792453,0,0.724275869600789,1.7425873710445399,1.6297336698172962,-0.585026652029182,2.788875115775417,1.0,2.418085,11.885946,0,0,0,0,Super-Earths (multi),Transit
Kepler-31 d,Kepler-31,Transit,2014.0,3.9,2161.244,87.6451,0.4,484.0,11.8,6340.0,-0.076,1.22,3,200.75278477384987,554.1651282051282,0,0.5910646070264992,2.302661578376761,1.942727640881077,-0.3979400086720376,2.6848453616444123,1.0,2.4366136,11.8373785,0,0,0,0,Super-Earths (multi),Transit
Kepler-310 b,Kepler-310,Transit,2014.0,1.19,1.81,13.930698,0.111,665.0,45.97,5797.0,-0.12,0.876,3,5.918195256352665,1.5210084033613447,0,0.07554696139253074,0.7721892895433773,1.1439728773682465,-0.9546770212133425,2.8228216453031045,5.0,0.49457094,15.710676,0,0,0,0,Earth-sized Rocky,Transit
Kepler-310 c,Kepler-310,Transit,2014.0,3.38,11.4,56.47542,0.281,417.0,7.109,5797.0,-0.12,0.876,3,1.6266958149783843,3.3727810650887577,0,0.5289167002776547,0.21130634935529347,1.7518594693932708,-0.5512936800949201,2.6201360549737576,3.0,0.3494022,14.876676,0,0,0,0,Mini-Neptunes,Transit
Kepler-310 d,Kepler-310,Transit,2014.0,2.47,7.0,92.876125,0.392,353.0,3.664,5797.0,-0.12,0.876,3,2.559521482959008,2.8340080971659916,0,0.39269695325966575,0.40815877908704457,1.9679040873697953,-0.4067139329795427,2.5477747053878224,1.0,0.36591956,14.838952,0,0,0,0,Super-Earths (multi),Transit
